Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Pull-Based Monitoring System
3,Process,Flowchart Shapes,1,,,,,,,Target 1
4,Process,Flowchart Shapes,1,,,,,,,Target 2
5,Process,Flowchart Shapes,1,,,,,,,Target 3
6,Line,,1,,,2,4,None,Arrow,
7,Line,,1,,,2,3,None,Arrow,
8,Line,,1,,,2,5,None,Arrow,
